sentence1,sentence2,匹配度,是否匹配,真实标签
原来是她！是女公爵！,妇女会的会员们都吃吃地笑起来，只是那个叫做苔丝的姑娘除外——她意识到她的父亲在众人眼里出丑卖乖，不禁感到脸上发烧。,0.0476,0,0
一男一女在河边散步。,一男一女在河边散步。,0.7489,1,1
基度山没有回答，站起身来在房间里慢慢地踱来踱去——因为怕他那颤抖的声音会泄露他的情绪。,基督山站起来，他一言不发；因为他此刻如果说话，他那颤抖的声音会暴蕗出他内心的激动的，于是他开始在客厅里踱步。,0.2374,0,1
谁知她的表弟早已走掉了，一听到这消息，她又是大哭，又是哀号，埃德加只好亲自安慰她，跟她说明白了，要不了多久，小林敦就会回来；不过他后面又拖了一句话:要是我能够把他弄回来，而这可是没有希望的事啊。,理发师就像桑乔说的，骑着一头棕驴。,0.076,0,0
一群人在木地板上举着一个金属框架。,一群人拿着画框,0.221,0,1
我的花呗分期了一次还能分期不,花呗可以一次分期两次吗,0.0,0,0
男爵？他是个顶好的人，心地好，学问也好就是没有性格他这一辈子，始终只能是半个学者，半个俗人，这就是说，只能是个票友，也就是说，说得干脆一点——不成家数多可惜！,是的，腾格拉尔向爱德蒙扫了一眼，仇视地说，是的，他的确很年轻，而年轻人总是自视甚高的，船长刚去世，他就跟谁也不商量一下，竟然自作主张地独揽指挥权，冲下面发号施令起来，并且还在厄尔巴岛耽搁了一天半，没有直航返回马赛。,0.0623,0,0
穿着安全夹克的建筑工人似乎在用铲子戳一些有趣的东西。,安全人员飞过云层,0.0,0,0
那你叫我怎么办？,卡齐莫多一刻也没有停止战斗，突然看到流浪汉们溃逃，不由跪倒在地，举手向天；随后，欣喜若狂，如癫似醉，好像鸟儿一般飞速奔跑，爬上那间他曾那样视死如归。,0.0067,0,0
求这张权志龙的原图,求这张权志龙的原图！急！,0.9857,1,1
红包怎么抢到那里抢,抢到了多少红包？怎么抢？,0.9487,1,1
现在有什么好玩的网络游戏,什么网络游戏好玩呢现在,0.9844,1,1
马不停蹄,老牛破车,0.0,0,0
一旦我把孩子从垂危中救出来后，我只该做一件事，正如您所说的，那就是把他送交给他的母亲。,您在胡说！不，不是我的错觉。,0.0465,0,0
那一天，克什米尔号便是这样做的，它停泊在铺地上。,学生们有没有你预料的专心？,0.0,0,0
莫琳·多德引用了恢复中的脚趾吸管者对为什么总统可能会有游荡的解释，让我们假设，好吧。,我们假设Dowd的报价是正确的,0.0663,0,1
将调整每个设施的分配，以确保每年分配的津贴总额不超过271 000吨。,即使经过调整，这些设施每年的分配津贴也不会受到限制。,0.7742,1,0
他们大都步行，少数幸运儿骑着投降条款允许他们保留的羸马痩骡，即使外行也看得出，这些可怜的畜生决计支撑不到遥远的佛罗里达或佐治亚南部。,碰破了吗？是的，碰伤了，感到非常幸福的拉祖米欣喃喃地说。,0.1464,0,0
同样，他们也找到了另一个电工和机务员。,你说我同安娜谢尔盖叶夫娜的什么事情？,0.0038,0,0
一群穿毛毯的女孩,女孩们穿着毯子待在户外。,0.6196,1,1
如果她出去了，一定是为那几个孤儿的事去找一位太太。,帕利亚内查少尉并没有死，他把电工找到了。,0.0189,0,0
他们全都知道到哪儿去找野菜，我也知道。,小鬼们怕您，并不比您怕他们来得轻些。,0.0,0,0
我先把目光投向下面的海岸；然后举目仰望太阳，使我惊异的是:它从左边照射着我们。,他深信，这种理智模糊和意志消沉像疾病一样向人袭来，逐渐蔓延，并且在犯罪之前不久达到顶点；这种情况在犯罪的那一瞬间还在继续下去，而在犯罪以后，还要因人而异地继续若干时候；最后像一切疾病一样渐渐消失。,0.254,0,0
你都有什么功能,你都有啥功能,0.9793,1,1
请你告诉我，桑丘，公爵说，你看到羊盖群里有大公山羊吗？,唉，阿克西尼亚！,0.0971,0,0
在哪里买一加手机,在日本往中国寄手机怎么寄,0.0,0,0
我的计划呀，兄弟，真是规模庞大:我梦想过各种各色的改善，革新你可记得，正像在拉松斯卡雅家里一样，列兹涅夫说着，带着善意的微笑。,兄弟，我的那些计划是庞大的:我梦想着各种各样的改进、革新就像在拉松斯卡碰家里那样，你记得吗？,0.6023,1,1
要我帮忙吗？我问。,另一方面，还可以举一个确确实实的例子，我有一个老同学布里杜，目前在马帕卢街开业，他有一条狗，只要一闻到鼻烟味，就会倒在地上抽搐，他还在吉约林别墅里，当着朋友们的面做实验。,0.0035,0,0
在场的都是自己人。,不，您的朋友拉祖米欣扎梅托夫先生，您的日子过得不错呀；可以不花钱到最开心的彼得堡的一个区，与彼得堡市中心仅一水之隔。,0.0,0,0
韩菲诗护肤品怎么样呢？,韩菲诗护肤品怎么样,0.984,1,1
皮拉尔神父告诉侯爵，有人想使用侮辱他的办法来迫使他提出辞职。,他只觉得，他如果看到黎吉亚被行刑处死，他对上帝的爱就会变成恨，他的信仰也会变成绝望。,0.1032,0,0
快，快！这囚犯又一次俯身纸上。,如果皇帝能保住王位，那么杰拉尔就需要一个不同的联姻来帮助他的事业，他的父亲己负责再给他找一个了。,0.0764,0,0
虽然我看到那些军官进了宅里，听到他们在楼上的客厅里谈话，而拉钦大小姐就在那儿弹竖琴，我的心就跟扎了一刀似的，但是我还是有两三次，在人家全家都上床安歇了以后，作出体弱不支、心疼难烧的样子来，在那所宅子周围转圈儿。,虽然亲眼见那些军官走进去，或听到他们在最年长的拉金斯小姐正弹着竖琴的客厅里的动静，这些都令我伤心，但我仍然常在拉金斯先生的住宅外踱来踱去。,0.4041,1,1
对海上的人来说，像这样猛然的打击，也并不值得大惊小怪。,对海上的人来说，这样猛烈的打击并没有什么可以大惊小怪的。,0.9833,1,1
两个人穿着武术服装互相扭打。,两个武术家打架。,0.48,1,1
笑话笑话笑话笑话,笑话视频,0.0007,0,0
我的意思是，这是很好的尝试教给年轻人一些，呃公民的，呃意识，但迫使他们基本上捐赠他们的时间和努力。,这是很好的尝试教育年轻人的公民意识，但这是不公平的，让他们奉献他们的时间和努力。,0.708,1,1
那么您也相信上帝吗？,您也也也信仰上帝吗？,0.9738,1,1
对他来说，正像他所说的，只是照章办事，把今天下午发生的事情记录下来；即使您现在就用我的话来问他，他也不会再说什么。,妖婆！萨沙在背后这样叫她。,0.03,0,0
理由是，因为这个美丽的国家的女人，她们的生活多半是消磨在公共场所里的，实在也没有什么要掩饰的，所以她们对于自己的言语和行动很少约束。,众人为了能够听得更加清楚，便脱下风帽，全心全意地聆听着每一句话、每一个词，所有这些对他们而言都是珍贵无比的。,0.1713,0,0
他己变成野兽，他陷落在一个也变成了野兽的女人的洞穴中。,他到这个野兽女人的洞穴里，自己也变成了野兽。,0.0125,0,1
她还写道，这对薇拉叶甫列莫夫娜来说，是很必要的。,表格里有一栏要填写保尔安德列耶维奇柯察金加入俄国共产党布的介绍人的党龄。,0.0194,0,0
人们从法庭的各个通道向外涌，嘈杂急切的声音还没停歇，露茜就站在那儿向她丈夫伸出胳臂，脸上除了怜爱和抚慰之情，别无其他。,法庭上的群众经许多过道一路闹闹嚷嚷很快拥出去，还没走完时，露西向她的丈夫伸出双手，脸上只有表示爱和安慰的神色。,0.5937,1,1
随我怎样小心注意，我也忘不了我所能控制得了的只有绳子的一头而已原注:所有的捕鲸船都有猴索；不过只有在裴廓德号上才始终是把猴索跟拉绳人缚在一起。,头天晚上的大屠杀没有让每一只捕鲸船上都有猴索，但只有在佩科特号上，才一直将猴索绑在一块。,0.4729,1,1
不知道广这只麻雀就当作死人！,不知道，这只麻雀就当作死人！,0.9806,1,1
描写床的句子,描写水的句子,0.0,0,0
突然间他尖叫起来:他们很快活，这些人！,五个卢布这车东西值十五个卢布。,0.0,0,0
姓郑五行缺水起什么名字,五行缺水取什么名字,0.0319,0,0
一名男子穿着长袖、蓝色格子衬衫和棕色裤子，跪在车库里一辆轮式手推车旁边。,一个人在修车厂修一辆汽车。,0.0621,0,0
她那玫瑰花蕾般的嘴唇，确实是爱神之弓，有着匀称的希腊美。,喂！卡尔贡特娘们他说道那位可尊敬的神甫没有骗我们，钻石是真的。,0.0954,0,0
如果您是使用的网银操作，就是您的银行卡号的。,建议您是绑定下其他的银行卡，或者您可以使用这个银行卡的网银。,0.0,0,0
小苏打哪里可以买到,哪里可以买到小苏打？,0.9854,1,1
他时常偎靠着我，拥抱我，有时抱起我满屋子走，他说，你是我真正的母亲，是养育我的土地，我爱你胜似爱瓦尔瓦拉！,他说:尔是我真土:的母亲，你就像生我养我的人地，我爱你胜过爱冗尔此拉！,0.7959,1,1
说真的，这个黑影可能是一张帆。,我最亲爱的朋友们啊，你们安安静静地呆一会儿吧，有些人精神错乱，硬把你们和我们分开，等一下他清醒过来，我们就又会回到你们身边的。,0.0092,0,0
在整个鲸身上，还不乏其它种种动作，在它的最有经验的攻击者看来，它浑身都是奇迹，而且不可理解。,在大鲸的全部身体中，也存在别的各种动作，即使是经验最丰富的捕鲸者都说它的身躯满是奇异，没办法领会。,0.7139,1,1
是塔尔顿太太的耐利！,这是谁写的？外祖父没有回答。,0.035,0,0
这并不是说他们提出的问题不是有趣的，也不是不合理的(尽管大多数问题都属于已经提出和回答过的问题)。,出现的每一个问题都不是有趣的，也不是合法的，但是没有人问过他们。,0.2084,0,0
对不起，夫人，我想说我感到有些惊奇，院长嬷嬷说。,好吧，院长嬷嬷，请让他进来吧。,0.0268,0,1
里恩佐可乐统治罗马,罗马没有统治者。,0.1128,0,0
行长把信放得离达奈那样近，所以他看到了信封上的字——那上面正是他自己真正的姓名，因此看见得更快。,信放在离达奈很近的地方，他一下就看见了收信人的姓名——尤其因为那是他的真实姓名。,0.8294,1,1
骑自行车玩把戏的男孩,一个男孩骑着自行车玩把戏。,0.7506,1,1
花呗怎么会被关闭,把开通的花呗 关掉 怎么关,0.0055,0,0
他们的寓所包括两个小房间和一间内房。,他们的寓所包括两个小房间和一个套间。,0.6986,1,1
他请求聂赫留朵夫帮助他，同时又嘲笑自己，嘲笑法官，嘲笑监狱，嘲笑所有的法律，不仅嘲笑刑法，而且还嘲笑宗教的戒律。,他请求聂赫留朵夫帮他出狱，不过他又常常嘲笑自己，嘲笑法官们，嘲笑监狱，而且嘲笑一切法律，不但嘲笑刑法，甚至嘲笑神的戒律。,0.1732,0,1
哦，不，不！德米特里普罗柯菲依奇，请您也来吃饭，好吗？,是这样的。贝尔图乔答道，但在七八年前，他把他的产业让给了马赛一个原来做裁缝的人，此人在他这一行当上破了产，想在另一行上发家致万。,0.4395,1,0
我昨天是单身狗,我是单身狗,0.9374,1,0
强盗们爆发出一阵大笑。,不，我不过是我顺便来问问我以为，我会在这儿找到扎苗托夫的。,0.0785,0,0
她是世界上最俏丽的佳人了。,但丁清楚感到，当时的口语还没有被一种标准文学固定下来，变化很迅速。,0.0588,0,0
逮捕他和禁闭他的是什么呢？,不是。那么是什么呢？,0.0,0,1
从他们谈话中我了解到他们结婚大约已有七年。,好，我打赌让咱们来听听，他怎样证明！,0.0,0,0
花呗不可以扫码付款的吗,花呗可以线下商铺扫码支付吗,0.0,0,0
在街头集市上，年轻女子坐在折叠椅上，一边编织一边看摄像机。,在街头集市上，年轻人坐在折叠椅上，一边编织一边看摄像机。,0.705,1,0
旁敲侧击,直言不讳,0.0,0,0
甚至有人说，还没有掌握近臣说话分寸的有很多优点的人说，公爵大人还提出了一个必须条件，请皇上也不要到军队去。,对自己的女人猜忌，往往会坠入无边的苦海，如今你安然渡过去了。,0.0107,0,0
罗塔里奥这一次似乎完全失去了理智，把自己说过的那至理名言忘得一干二净，不仅大失风度，甚至有悖常理，妒火中烧使他昏头胀脑、急不可待地想要对完全无辜的卡米拉施行报复，所以，不假思索，等不及安塞尔莫起床，就去找到他说道:你要知道，安塞尔莫，好多天以来我一直在克制着自己，不想告诉你，可是现在不能也不该再瞒下去啦。,当初，你把我可怜的爱人从她那被残杀的父亲身旁拖走，你把她抢到你的那个该死的、无耻的新房里去，你对她可曾有一星半点儿的怜悯？,0.0979,0,0
想当初她杀死那个北佳的时候并没有觉得害怕，现在她只是去跟另一个北佳说话，有什么可怕呢？,啊，爸，她厌恶地说，你说这话真像个爱尔兰人哪！,0.0,0,0
一个穿着红色上衣，戴着红色帽子，穿着浅色短裤的女孩坐在外面的岩石上。,一个赤裸的女孩坐在岩石上。,0.3932,0,0
既然大家都这么做，那就是理所应当的。,要是看门人问他:干什么？,0.0,0,0
立体主义者的代表是毕加索(包括母亲和孩子，从他的蓝色时期)和布雷克。,毕加索从来不是立体主义艺术家。,0.1259,0,0
白狗嘴里叼着网球，穿过青草。,一只狗把头垂在车窗外。,0.0,0,0
参孙回答说:身不由己疯了的人永远是疯子，而自愿充当疯子的人想不疯时就可以不疯，这便是两种疯子之间的区别。,它在趴在地上的人和马周围闻闻，然后跑到我面前；这就是它所能做的一切，——附近没有别的人可以求救。,0.0889,0,0
刚过七点钟，他就听到外面通道里的脚步声。,外面可以听到脚步声。,0.4984,1,1
福尔摩斯微笑着说。,你杀死自己为了要不失去拉维尼亚；如今你失去了我；母亲啊，我悲恸是为你的不幸，不是为别人的不幸。,0.0095,0,0
高翔远翥,高翔远引,0.9391,1,1
那么，咱们可以使用一些新的祈祷文嘛。,我不喜欢布洛克尔赫斯特先生；有这样感情的不只是我一个人。,0.0404,0,0
"别人家一开始有冰箱彩电,小林家没有,让小林感到惭愧,后来省着攒着,现在不也买了",小林家买了冰箱彩电,0.0,0,1
我试了下想抓住她的手，可她不让，她不断转过身背对着我。,西蒙松是这样的一种人，这种人主要具有男性的气质，他们的行动是由思想活动所产生，为思想活动所决定的。,0.0958,0,0
为了礼貌关系，我对这些愚蠢的畜生赞赏了一番灵提猎狗都是极其愚蠢的。,她向德龙努什卡详细询问农民的急需，并且询问博古恰罗沃的地主储备粮的情况。,0.0475,0,0
找一本言情小说,找一本言情小说！,0.9833,1,1
庙堂之器,无能之辈,0.0,0,0
我要听你唱歌,听一首歌,0.0,0,0
骨科哪个医院好？,看骨科到哪个医院较好,0.9706,1,1
不过，这也不是我自己想出来的办法，只是忽然想起了我的主人唐吉诃德的劝告。,出来可不那么容易，若不是老天派我的主人唐吉诃德去救我，我肯定就死在那儿了。,0.6576,1,1
他抬头望着天空，意识到天空已经掉了一半以上。,只有不到一半的天空没有塌下来。,0.4643,1,1
有点儿神经错乱，伙食太差，他说，啤酒喝得太少，洋姜也吃得太少，于是就病了，不过没关系，会过去的，会好起来的。,无论是世上没有印刷机也好，还是出版攻击我的书比《明戈雷布尔戈诗集》的字数还多，我都不害怕。,0.0,0,0
没有，他还在作准备。,这不是要研究学问。,0.2755,0,0
璀璨是什么意思？,璀璨什么意思,0.9794,1,1
现在用什么看电影,现在都有什么电影看？,0.0228,0,0
啦，那你到你妈妈那儿去呀广我可是这儿的女主人！,好！棒！棒哇！,0.0,0,0
格温普兰成为他的丑脸的闪徒，可是他是和女神一起被囚的。,格温普兰的畸形把他囚禁起来了，可是同蒂在一起。,0.0,0,1
他没上桥，在旁边人行道上站住了，并且竭力不让拉斯科利尼科夫看到他。,丽达把手伸进制服口袋，掏出一支发亮的勃朗宁手枪。,0.0345,0,0
我要你念别人说的最后那旬活。,没让你念我说的最后一句话，蠢货！,0.0,0,1
人生自古谁无死留取丹心照汗青,人生自古谁无死留取丹心照汗青的意思,0.6001,1,0
从上面看某人倾向于出售一盘鱼的景象。,有一盘鱼在卖。,0.5561,1,1
但我们不能忽视任何预防措施。,忽视预防措施是可以的。,0.2993,0,0
现在我可以自由退席了吗？,啊！这一来我们世俗的根子就露出来了，辛巴德大声说道，我们常常从幸福旁边擦身而过，却没看它一眼，更没注意它；或者，我们确实看到了，注意了，但却不能认出它。,0.0743,0,0
过十二点了，她说，而今天是星期六。,她大叫一声，仿佛就要永远失去他了。,0.0773,0,0
购物者沿着看上去像购物区的街道走来走去，那里有一些色彩鲜艳的建筑。,购物者走在一些色彩鲜艳的建筑物附近。,0.5671,1,1
人概基督当初也齐经是这样的怪人您会同意我这么说吧，要知道，他有些东西也瞎编得错嘛使我感到惊奇的是所有这钱人都很少而且也不乐意谈论上帝。,您会同意我这样说:有些东西他虚构得还不坏呀，使我奇怪的是所有这些人都很少谈到上帝，也不髙兴谈上帝。,0.7409,1,1
夜间亚洲建筑的外部。,这栋建筑在法国巴黎。,0.1585,0,0
而且是特别强调，那么执糊地特别强调，吗，您说，这可能吗，这可能吗？,好了，咱们走吧。,0.1835,0,0
一群孩子走在一条城市街道上，经过涂鸦、一辆小车和几辆自行车。,一群成年人走在纽约市的街道上。,0.3889,0,0
一对新婚夫妇在客人中间欢庆。,一对新婚夫妇情绪低落，闷闷不乐。,0.3727,0,0
舍下很以能和维尔福先生联姻为幸，而我所寻求的只是幸福。,他问。哪里捉得到，康斯坦丁德米特里奇！,0.0,0,0
他的脚印因为久站在那里而深深地印透了地上的雪。,最近一段时期，他很容易发脾气，心情紧张，近似患了疑心病。,0.0635,0,0
又是些漂亮的句子，他想；但是他在看信时，看着看着脸发白了。,看来，她忘记了自己的年龄，习惯成自然地把自古以来妇女就使用的全副本领都施展了出来。,0.0,0,0
今年男生流行什么发型？,今年流行什么发型男生,0.9792,1,1
于是她的眼光转向天空，那儿，神秘的上帝在处理一切事物，而即使你犯了一次过失，不，甚至犯了一件罪恶，有时也能得到祝福。,您看，我可比您坦白。,0.0603,0,0
道路建设箭头指向左边。,有道路建设标志。,0.0,0,1
玩穿越火线用什么加速器好？,玩穿越火线用什么加速器更快？,0.9158,1,1
哦，对了，教练，是的，这是另一个我不想错过的，虽然它曾经是更好的，我不知道它看起来很好,我会尽量不再错过一次。,0.2466,0,1
"也是一边学习,一边工作的.","工作占据太多时间与精力,根本没时间学习",0.0,0,0
至于瓦罐碰石头，连瞎子也能看得一清二楚。,至于石头碰坛子的结果，就是瞎子也能看见。,0.0,0,1
这完全是他想报私仇。,只是一万卢布在必要的时候，到底是一笔可观的数目。,0.1906,0,0
求泰坦之旅不朽王座修改器,求泰坦之旅不朽王座修改器,0.9808,1,1
两个秃顶的拳击手在打架，左边的那个被右边那个黑皮肤的拳击手打了一拳，他扔了一个左钩。,两名拳击手,0.1748,0,1
手机电池多大,手机电池有多大,0.9816,1,1
假如我处在你的地位，这些问题我当然是希望能得到解答的。,我们不会有漂亮的新马啦，也没有大堆的金钱买礼物啦！,0.0106,0,0
我并不富有，我的生命经常在危险中。,念呀。老人继续说。,0.1806,0,0
"持续深化农村改革,广袤乡村必将焕发新的生机活力",农村改革就是要革除农村旧有的一切看似与现代化不符的东西,0.0,0,0
八年级上册寒假作业答案（苏教版）,2010年八年级寒假作业的答案（物理）,0.0,0,0
小布给我打开QQ,给我QQ,0.931,1,1
加以儿童贩于们善于保守秘密，不爱多嘴，他们答应保守秘密之后就遵守诺言，这样做对国家大事是必要的。,他们答应你保守秘密，并且很守信用，这对国家大事来说是很重要的。,0.5209,1,1
桑丘老兄啊，参孙说道，你讲起话来简直像个大学教授。,他回答说:唐吉诃德先生，您刚才说的那些，我不否认有部分是事实，特别是那些与西班牙骑士有关的事情。,0.0,0,0
播放陈瑞的歌,来几首陈瑞的歌,0.668,1,1
保存照片左上角时间取消,怎么才把保存的照片左上角时间取消,0.9536,1,0
有三个人在游泳池里打水排球。,人们都在游泳池边,0.1198,0,1
既然我有了机器，别人就会同意我赊帐。,第二条:本镇实施戒严令，每晚八时起禁止通行。,0.048,0,0
此外，对于玩家可以用他的卡和筹码做什么，以及他可以把手放在什么地方，都有严格的规定。,你被允许做什么是有严格规定的。,0.2424,0,1
你为什么纠缠不休？,那你为什么引诱她？,0.0,0,1
太太，想喝点儿茶。,列别贾特尼科夫说的那个煎锅不见了，至少拉斯科利尼科夫没有看到；不过卡捷琳娜伊万诺芙娜虽然没敲煎锅，在她逼着波列奇卡唱歌、廖尼婉和科利亚跳舞的时候，却用她那干瘦的手掌打起拍子来；而且她自己也跟着和唱，可是由于痛苦的晐嗽，每次唱到第二个音的时候，就猝然中断了，这样一来她又感到悲观失望了，于是咒骂自己的咳嗽，甚至会晃起来。,0.1416,0,0
这声音不象他。,声音不像他的。,0.8668,1,1
在集市上，一个穿绿色制服的女人在路上溜冰。,穿绿色衣服的女士正在街上溜冰。,0.5928,1,1
三个人走在一个彩色帐篷前面，帐篷上挂着一个牌子。,飞机上的一群人。,0.0401,0,0
如果A国的居民人数是B国的两倍，那么A的代价函数的斜率和截距将是B的代价函数的斜率和截距的两倍。,斜率和截距与种群无关。,0.0,0,0
我已起来跪着为罗切斯特先生祈祷。,他先深深吸了一口气给自己鼓劲，然后勇敢地走上前去拦住科恩中校。,0.06,0,0
如同一位少女欣然站起来，前去参加跳舞，只是为了给结婚的新娘争光，不是出于任何虚荣心，同样，我看到那个变得更灿烂的火光向着另外那两个正在按照与他们热烈的爱相适应的歌曲节拍舞蹈的火光而来。,四年以后，你见我是一个虔诚的基督徒，然后就来害我了，也许我永世不得翻身了！,0.1886,0,0
一个男孩在玩狗和飞盘。,狗一个人在外面,0.1652,0,0
病得很厉害。你看见过他？,看见你服丧，我很难过，先生。,0.0,0,1
说也可笑，他当真变得十分厌恶起飞行来了。,他所在的这个地方，一切都呈现出神奇的景观；他仿佛身在幻境。,0.1999,0,0
一名男子拿着一个虚空的袋子，让另一名男子在地铁三明治店前搭便车。,一位父亲正在厨房的桌子上帮助他的儿子做家庭作业。,0.0034,0,0
猜神指自由意志的力量，这种力量能克服一切障碍有的注释家认为指但丁和维吉尔游地狱后，还须要从地心上到地面上重见夭曰重见群星；有的注释家认为指他们还须婆攀登炼狱所在的净罪山的各层平台到达山预的地上乐园。,后父正在做弥撒，外祖母打发我到一个犹太女人——小铺子女老板那儿去买烟，碰高尔基的母亲于一八七九年八月五日死于肺结核，终年三十五岁巧没有现成的碎烟，只好等女老板把烟叶搓碎，然后把烟送给外祖母当我回到外祖父那里的时候，母亲坐在桌子旁，她穿着淡紫色的衣服，头梳得挺好看，跟从前一样派头十足。,0.358,0,0
怎么？堂吉诃德问，你摸到什么了？,尼可拉彼得罗维奇叙述了他在自己所谓农庄生活中所遇到的种种事故，又讲起一些就要发布的政府的新法案，还谈到各种委员会，选派代表，以及采用机器的必要，诸如此类的问题。,0.1097,0,0
在农村地区，带着婴儿车的狗和女人跨过一座桥。,一只狗和女人抱着婴儿车跨过一座桥。,0.5955,1,1
我叫十么名字,我的名字叫十么,0.9723,1,1
尤索林断定自己这回终于摆脱了她，心里感到很宽慰。,紧挨着书桌放着一张张矮桌子，录事们就坐在矮桌子旁边，在官员需要笔录的时候，他们就根据口授写下来。,0.2735,0,0
亲爱的罗季昂罗曼诺维奇，我可以拿人格担保，请您相信，您引起了我很大的兴趣。,罗吉昂罗曼诺维奇，我使您受到了很大痛苦。,0.0,0,1
一个在轮胎秋千上摇摆的男孩。,有个孩子正疲惫不堪,0.0,0,1
在各个地方，在店铺里和各个住宅里，到处都有很多这样的人；但是军队已经不存在了。,这种人到处都有，店铺里、住宅里都有很多；但是军队已经没有了。,0.9842,1,1
是的，它就在我面前。,她问。这时她明白了为什么他总知道韦德喜欢什么礼物。,0.0524,0,0
你为什么关不了机,你怎么不能关机呢,0.9656,1,1
你不愿意跟那些穿着龌龊制服的人们一个样子。,世界上最丑的东西要算快乐了。,0.0274,0,0
一个穿蓝色上衣的女人，梳着另一个女人的头发，穿着绿色的上衣。,穿蓝色上衣的女人刷绿色的上衣，戴着女人的头发,0.4717,1,1
一群人聚集在店面附近，黄色的海湾窗户被围在一道水栅栏后面。,人群正在散去。,0.2509,0,0
特别是德里有非常现代化的设施，许多设施是为1982年的亚运会而建造的。,德里没有任何设施可供提供。,0.2177,0,0
你到这儿来干什么？,要偿还波维里先生这个月十五日到期的另十万法郎和下个月十五日到期的十万，莫雷尔先生除了等待法老号回来，再没有别的希望了。,0.0103,0,0
伯爵说的是实话:在人生中最有趣的一件事，就是观赏处死人的场面。,我不是在信里常常跟你谈到她吗。,0.0401,0,0
他认为这很自然，同样，卡丽恩反倒乐于跟他这样一个陌生人谈谈，他认为这也很自然。,他认为它看作很自然的事，正像他觉得卡琳很乐意跟他这个陌生的人说话是很自然的。,0.902,1,1
等我们读到时，对此将有明确的认识，因为诗人在那里指出，炼狱本部高出大气层变化的范围，没有雨、露、霜、雪和冰。,这里的一切不会发生任何的变化；在这里作为原因而发生作用的，不是别的，而是上天所接去的东西:因此不论降落下来的是雨，是雹，是雪，是露，是霜，都不会高于那短短的小阶梯的三个梯级。,0.2049,0,1
纵放繁枝散诞春,诲女知之乎的意思,0.0,0,0
伏玲采夫站了起来。,沃伦采夫站了起来。,0.7144,1,1
——她问候了我，我谢过她，站起身来，走到她跟前，问她是不是孩子的母亲。,看样子，他老人家从天向地下看啊，看啊，看我们大家，但耵时他又会号啕大哭地说:我亲爱的人们，你们是我的人啊！,0.0203,0,0
怎么！在我丈夫安葬的日子里，受了我的款待，却要撵我出屋，赶我和死了父亲的孩子们到街上去！,怎么在我丈夫下葬的这一天在我家吃饱喝足了，还要把我和一群孤儿们赶到街上去！,0.9696,1,1
这个又惊又喜的小姑娘含着眼泪露出的微笑似乎在这样说，她抬起手搭到安德烈公爵肩上。,罗西南多一倒地，它的主人也摔得滚了很远。,0.0207,0,0
他就这样拿着它们睡着了。,他拿了钱，她们就走了。,0.0967,0,1
怎样用微信泡妞,微信怎么泡妞,0.9861,1,1
就像刚才描述的那样，唐吉诃德站在罗西南多背上，在窗洞里伸着整只胳膊，拴在门闩上的缰绳扣住了他的手腕。,这是一个好伙伴，他聪明，快活，心地纯洁。,0.0433,0,0
这尸体显得古怪又庄严，凝望着它，只有忧伤，只有痛苦，激不起任何温存、甜蜜与惋惜，也感觉不到任何希望或压抑，只有一种为悲哀——而不是哇损失——所体验到的锥心痛苦——这种死法的恐惧伤，无泪的沮丧。,后来他们对那个可怜的孩子怎样了呢？,0.0339,0,0
布里尔在一大片金色的麦田里吃草。,布里尔家饿了，没有东西吃。,0.1088,0,0
他认为，有财产的人物——也就是体面人士，同没有财产的人——流浪汉、妓女、罪犯、腐化堕落分子、无神论者、粗鄙下流的人等相比，理应得到较多的选票。,让我过去！拉住缰绳，瑞德一面跳下马，一面把缰绳扔给彼得大叔。,0.057,0,0
别的小霍里听到了费佳的悄皮话都微微一笑。,您应该关心她们，爱护她们，可是您只是吓喊她们这跟您有什么关系？,0.0,0,0
这句话的确不错，卡德罗斯答道。,他寻思:要是戴吕谢特看到我在这儿无所事事，她会怎么想我呀？,0.0354,0,0
在同一地点还有一个汽车博物馆和坎伯兰玩具和模型博物馆，庆祝英国玩具制造100周年。,英国的玩具制造传统始于大约100年前。,0.367,0,1
我实话实说吧，米考伯太太说，说到这儿，把声音放低了这个话我可就是跟你说他们接待我们，态度极其冷淡。,事实上，米考伯太太压低声音道，这只能对我们自己人说说——我们受到的是冷淡的接待。,0.3616,0,1
等他走出去，律师的妻子评迦尔洵—，俄国作家价道。,律师的妻子等到他走出去以后，说了他这样一句。,0.3041,0,1
是的，我觉得可以了，国王一边说，一边从拉谢斯内手里抓起一把金市，放在达德尼昂的手里。,她脸上闪过的表情和她情绪的变化开始把我吓得要命；而且使我想起她上次的病，以及医生告诫说万不可以让她生气。,0.1215,0,0
一个穿黄色衣服的女人走在城市的一棵树旁边。,一位女士在外面的一个城市里散步。,0.2099,0,1
她站在那里没有走。,她站在那儿没走。,0.945,1,1
骤然间，人们扰动起来了。,到底是怎么回事，她怎么也不明白。,0.0104,0,0
国会意识到在这些方案下出现的问题，以及临时外籍工人的特殊脆弱性。,在这些方案下，临时外籍工人特别容易受到伤害。,0.4949,1,1
这么着，要是您害怕的话，布朗谢先生，达德尼昂接着说，您就不用跟我去了；我宁可一个人上路，也不愿意带个只会打哆嗦的伴儿。,我想是的，不用说，他爱慕她。,0.0,0,0
是您的朋友转账到您的这个手机号的支付宝账户的吗？,转账到支付宝账户是立即到账的，帮您核实，款项已经进入了对方支付宝账户。,0.0,0,0
言行一致,心口不一,0.0,0,0
